Epoch 9701/100000, Tr Loss: 0.5844, Tr Acc: 71.4286, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 9801/100000, Tr Loss: 0.6558, Tr Acc: 50.0000, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 9901/100000, Tr Loss: 0.6754, Tr Acc: 64.2857, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 10001/100000, Tr Loss: 0.6412, Tr Acc: 57.1429, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 10101/100000, Tr Loss: 0.5614, Tr Acc: 71.4286, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 10201/100000, Tr Loss: 0.6605, Tr Acc: 42.8571, Val Loss: 0.6694, Val Acc: 66.6667
Epoch 10301/100000, Tr Loss: 0.4125, Tr Acc: 92.8571, Val Loss: 0.6683, Val Acc: 66.6667
Epoch 10401/100000, Tr Loss: 0.5936, Tr Acc: 78.5714, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 10501/100000, Tr Loss: 0.7135, Tr Acc: 50.0000, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 10601/100000, Tr Loss: 0.7000, Tr Acc: 57.1429, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 10701/100000, Tr Loss: 0.5377, Tr Acc: 78.5714, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 10801/100000, Tr Loss: 0.5277, Tr Acc: 85.7143, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 10901/100000, Tr Loss: 0.6467, Tr Acc: 71.4286, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 11001/100000, Tr Loss: 0.5543, Tr Acc: 71.4286, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 11101/100000, Tr Loss: 0.5351, Tr Acc: 64.2857, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 11201/100000, Tr Loss: 0.7439, Tr Acc: 50.0000, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 11301/100000, Tr Loss: 0.5737, Tr Acc: 71.4286, Val Loss: 0.6696, Val Acc: 66.6667
Epoch 11401/100000, Tr Loss: 0.6292, Tr Acc: 50.0000, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 11501/100000, Tr Loss: 0.5152, Tr Acc: 78.5714, Val Loss: 0.6695, Val Acc: 66.6667
Epoch 11601/100000, Tr Loss: 0.5689, Tr Acc: 71.4286, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 11701/100000, Tr Loss: 0.5977, Tr Acc: 78.5714, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 11801/100000, Tr Loss: 0.5070, Tr Acc: 71.4286, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 11901/100000, Tr Loss: 0.5357, Tr Acc: 64.2857, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 12001/100000, Tr Loss: 0.6530, Tr Acc: 42.8571, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 12101/100000, Tr Loss: 0.5241, Tr Acc: 78.5714, Val Loss: 0.6679, Val Acc: 66.6667
Epoch 12201/100000, Tr Loss: 0.5876, Tr Acc: 71.4286, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 12301/100000, Tr Loss: 0.6026, Tr Acc: 71.4286, Val Loss: 0.6691, Val Acc: 66.6667
Epoch 12401/100000, Tr Loss: 0.6502, Tr Acc: 64.2857, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 12501/100000, Tr Loss: 0.5867, Tr Acc: 64.2857, Val Loss: 0.6693, Val Acc: 66.6667
Epoch 12601/100000, Tr Loss: 0.5670, Tr Acc: 92.8571, Val Loss: 0.6681, Val Acc: 66.6667
Epoch 12701/100000, Tr Loss: 0.6184, Tr Acc: 57.1429, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 12801/100000, Tr Loss: 0.6341, Tr Acc: 71.4286, Val Loss: 0.6694, Val Acc: 66.6667
Epoch 12901/100000, Tr Loss: 0.7080, Tr Acc: 57.1429, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 13001/100000, Tr Loss: 0.5468, Tr Acc: 64.2857, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 13101/100000, Tr Loss: 0.5326, Tr Acc: 78.5714, Val Loss: 0.6693, Val Acc: 66.6667
Epoch 13201/100000, Tr Loss: 0.5415, Tr Acc: 78.5714, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 13301/100000, Tr Loss: 0.4685, Tr Acc: 85.7143, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 13401/100000, Tr Loss: 0.5474, Tr Acc: 85.7143, Val Loss: 0.6691, Val Acc: 66.6667
Epoch 13501/100000, Tr Loss: 0.6233, Tr Acc: 57.1429, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 13601/100000, Tr Loss: 0.5139, Tr Acc: 85.7143, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 13701/100000, Tr Loss: 0.6288, Tr Acc: 71.4286, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 13801/100000, Tr Loss: 0.5762, Tr Acc: 57.1429, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 13901/100000, Tr Loss: 0.5964, Tr Acc: 85.7143, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 14001/100000, Tr Loss: 0.7513, Tr Acc: 50.0000, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 14101/100000, Tr Loss: 0.5690, Tr Acc: 78.5714, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 14201/100000, Tr Loss: 0.5834, Tr Acc: 71.4286, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 14301/100000, Tr Loss: 0.5713, Tr Acc: 78.5714, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 14401/100000, Tr Loss: 0.6770, Tr Acc: 57.1429, Val Loss: 0.6693, Val Acc: 66.6667
Epoch 14501/100000, Tr Loss: 0.5688, Tr Acc: 92.8571, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 14601/100000, Tr Loss: 0.6864, Tr Acc: 57.1429, Val Loss: 0.6691, Val Acc: 66.6667
Epoch 14701/100000, Tr Loss: 0.4805, Tr Acc: 78.5714, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 14801/100000, Tr Loss: 0.6071, Tr Acc: 71.4286, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 14901/100000, Tr Loss: 0.5287, Tr Acc: 71.4286, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 15001/100000, Tr Loss: 0.5825, Tr Acc: 71.4286, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 15101/100000, Tr Loss: 0.6990, Tr Acc: 50.0000, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 15201/100000, Tr Loss: 0.4383, Tr Acc: 92.8571, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 15301/100000, Tr Loss: 0.5534, Tr Acc: 71.4286, Val Loss: 0.6694, Val Acc: 66.6667
Epoch 15401/100000, Tr Loss: 0.6224, Tr Acc: 78.5714, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 15501/100000, Tr Loss: 0.5775, Tr Acc: 78.5714, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 15601/100000, Tr Loss: 0.5746, Tr Acc: 64.2857, Val Loss: 0.6693, Val Acc: 66.6667
Epoch 15701/100000, Tr Loss: 0.5647, Tr Acc: 64.2857, Val Loss: 0.6684, Val Acc: 66.6667
Epoch 15801/100000, Tr Loss: 0.5148, Tr Acc: 57.1429, Val Loss: 0.6693, Val Acc: 66.6667
Epoch 15901/100000, Tr Loss: 0.5631, Tr Acc: 71.4286, Val Loss: 0.6680, Val Acc: 66.6667
